#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1642012260.058823,58823,2,0,0,0,97385124,93017860,93297116,4112,818368,5500,326228,611012,25196,271028,301032,339984,0,0,8388604,8172796,0,0,110512,64540,181464,342392,166280,176112,14400,7236,0,0,0,57081164,1403572,34359738367,583720,34308612092,54400,0,55296,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012260.052207,52207,3,0,0,0,3878020,3200968,3407408,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72288,45704,26584,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012260.051449,51449,4,0,0,0,1813712,88940,1234148,2068,1306864,0,554440,1027772,298800,37000,255640,990772,0,0,0,0,8,0,273280,40388,62520,81480,59380,22100,2784,7040,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012260.052037,52037,5,0,0,0,3878040,197076,1142328,2068,1162068,0,2933488,565872,2346884,30064,586604,535808,0,0,0,0,0,0,2335288,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012320.054598,54598,0,0,0,0,97387748,86786344,93407112,180460,6775332,8876,439928,6594448,79752,13812,360176,6580636,0,0,8388604,6280312,0,0,72340,53492,14980,370180,237412,132768,10704,8600,0,0,0,57082476,3009072,34359738367,576596,34308614140,51200,0,26624,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012320.058755,58755,2,0,0,0,97385124,93014856,93294120,4120,818368,5500,328352,609996,27320,270004,301032,339992,0,0,8388604,8172796,0,0,110360,64540,181464,342376,166280,176096,14400,7236,0,0,0,57081164,1403148,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012320.058387,58387,1,0,0,0,97385144,32668268,93215104,4284,60569568,5560,44412708,16276264,23324,321320,44389384,15954944,0,0,8388604,8192508,0,0,110996,67276,229524,940224,759956,180268,14208,7180,0,0,0,57081176,1323200,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012320.052245,52245,5,0,0,0,3878040,197200,1142452,2068,1162068,0,2933392,565872,2346788,30064,586604,535808,0,0,0,0,0,0,2335128,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012320.051904,51904,3,0,0,0,3878020,3200892,3407332,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72240,45704,26536,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012320.052114,52114,4,0,0,0,1813712,88940,1234156,2068,1306872,0,554448,1027772,298800,37000,255648,990772,0,0,0,0,128,0,273280,40396,62520,81480,59380,22100,2784,7040,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012380.055651,55651,0,0,0,0,97387748,86788640,93409424,180468,6775340,8876,438204,6594464,78028,13812,360176,6580652,0,0,8388604,6280312,0,0,70764,53492,14980,370068,237412,132656,10720,8600,0,0,0,57082476,3008920,34359738367,576596,34308614140,51200,0,24576,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012380.058957,58957,2,0,0,0,97385124,93019772,93299036,4120,818368,5500,325948,609996,24916,270004,301032,339992,0,0,8388604,8172796,0,0,108532,64540,181464,342472,166280,176192,14400,7236,0,0,0,57081164,1403148,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012380.058325,58325,1,0,0,0,97385144,32673464,93220300,4284,60569568,5560,44409468,16276264,20084,321320,44389384,15954944,0,0,8388604,8192508,0,0,108908,67276,229524,940240,759956,180284,14208,7180,0,0,0,57081176,1323200,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012380.050505,50505,4,0,0,0,1813712,88792,1234376,2068,1307240,0,554456,1028132,298800,37000,255656,991132,0,0,0,0,8,0,273280,40396,62520,81480,59380,22100,2784,7040,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012380.050696,50696,3,0,0,0,3878020,3201040,3407480,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71356,70904,41760,72216,45704,26512,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012380.051968,51968,5,0,0,0,3878040,197076,1142328,2068,1162068,0,2933392,565872,2346788,30064,586604,535808,0,0,0,0,0,0,2335128,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
